Location,Place_to_Go,Temperature
Shimla,Hill Station,38.7
Jaipur,Desert,28.0
Kolkata,Water Park,12.5
Jaipur,Desert,27.0
Hyderabad,Water Park,33.6
Bikaner,Desert,17.1
Shimla,Hill Station,13.2
Delhi,Water Park,22.4
Hyderabad,Water Park,24.6
Chennai,Beach,35.7
Darjeeling,Hill Station,35.5
Jaipur,Desert,17.1
Jaipur,Desert,35.7
Goa,Beach,38.0
Bangalore,Water Park,31.2
Darjeeling,Hill Station,21.3
Manali,Hill Station,28.5
Ooty,Hill Station,39.3
Bangalore,Water Park,28.6
Goa,Beach,36.6
Kolkata,Water Park,12.3
Hyderabad,Water Park,29.7
Shimla,Hill Station,37.0
Chennai,Beach,18.6
Ooty,Hill Station,14.3
Bikaner,Desert,32.8
Manali,Hill Station,22.5
Bangalore,Water Park,30.2
Bikaner,Desert,38.1
Puri,Beach,36.8
Hyderabad,Water Park,13.8
Mumbai,Beach,26.2
Mumbai,Beach,39.8
Goa,Beach,32.2
Delhi,Water Park,18.7
Bangalore,Water Park,20.7
Hyderabad,Water Park,39.9
Kolkata,Water Park,11.2
Puri,Beach,13.3
Manali,Hill Station,16.6
Ooty,Hill Station,18.1
Kutch,Desert,17.3
Hyderabad,Water Park,23.4
Delhi,Water Park,15.0
Kolkata,Water Park,39.6
Kolkata,Water Park,26.7
Jaisalmer,Desert,25.4
Bikaner,Desert,13.0
Puri,Beach,24.6
Manali,Hill Station,10.3
Jaisalmer,Desert,15.3
Jaipur,Desert,14.1
Kutch,Desert,39.3
Manali,Hill Station,16.2
Mumbai,Beach,28.3
Puri,Beach,24.6
Goa,Beach,31.2
Shimla,Hill Station,10.5
Ooty,Hill Station,22.9
Mumbai,Beach,39.2
Ooty,Hill Station,28.7
Manali,Hill Station,21.8
Darjeeling,Hill Station,28.6
Manali,Hill Station,14.7
Bangalore,Water Park,10.3
Puri,Beach,10.3
Manali,Hill Station,10.4
Jaisalmer,Desert,14.5
Bangalore,Water Park,36.4
Kolkata,Water Park,38.6
Manali,Hill Station,18.9
Puri,Beach,37.6
Bikaner,Desert,19.5
Shimla,Hill Station,14.5
Manali,Hill Station,25.8
Hyderabad,Water Park,27.1
Manali,Hill Station,35.3
Jaisalmer,Desert,12.8
Jaipur,Desert,13.9
Goa,Beach,18.3
Puri,Beach,38.6
Mumbai,Beach,37.8
Bikaner,Desert,38.1
Shimla,Hill Station,33.9
Chennai,Beach,16.0
Kolkata,Water Park,21.8
Darjeeling,Hill Station,16.7
Kolkata,Water Park,27.8
Ooty,Hill Station,27.6
Mumbai,Beach,25.1
Chennai,Beach,33.3
Bikaner,Desert,17.0
Ooty,Hill Station,13.6
Manali,Hill Station,13.8
Hyderabad,Water Park,38.6
Bangalore,Water Park,35.7
Delhi,Water Park,36.2
Darjeeling,Hill Station,14.7
Chennai,Beach,32.4
Bangalore,Water Park,10.1
Chennai,Beach,37.2
Jaipur,Desert,21.9
Chennai,Beach,39.2
Jaipur,Desert,29.2
Goa,Beach,32.7
Kutch,Desert,37.8
Jaisalmer,Desert,21.6
Ooty,Hill Station,10.3
Hyderabad,Water Park,17.1
Shimla,Hill Station,36.8
Darjeeling,Hill Station,10.4
Mumbai,Beach,38.6
Hyderabad,Water Park,18.3
Jaisalmer,Desert,37.5
Puri,Beach,37.0
Kolkata,Water Park,39.6
Jaisalmer,Desert,30.5
Jaisalmer,Desert,34.3
Hyderabad,Water Park,32.0
Shimla,Hill Station,13.1
Darjeeling,Hill Station,16.9
Darjeeling,Hill Station,33.6
Hyderabad,Water Park,28.3
Jaisalmer,Desert,11.6
Bikaner,Desert,28.0
Kolkata,Water Park,19.3
Ooty,Hill Station,28.5
Goa,Beach,19.3
Jaisalmer,Desert,16.3
Delhi,Water Park,15.4
Delhi,Water Park,15.1
Goa,Beach,25.0
Bikaner,Desert,16.6
Manali,Hill Station,20.1
Manali,Hill Station,27.7
